Ticker,Sector
NVDA,Technology
AAPL,Technology
MSFT,Technology
AMZN,Consumer Cyclical
GOOGL,Communication Services
AVGO,Technology
GOOG,Communication Services
META,Communication Services
TSLA,Consumer Cyclical
MU,Technology
BRK-B,Financial Services
LLY,Healthcare
JPM,Financial Services
AMD,Technology
XOM,Energy
INTC,Technology
JNJ,Healthcare
V,Financial Services
WMT,Consumer Defensive
CSCO,Technology
COST,Consumer Defensive
CAT,Industrials
LRCX,Technology
MA,Financial Services
ABBV,Healthcare
NFLX,Communication Services
AMAT,Technology
BAC,Financial Services
CVX,Energy
UNH,Healthcare
PG,Consumer Defensive
GE,Industrials
ORCL,Technology
PLTR,Technology
KO,Consumer Defensive
HD,Consumer Cyclical
GS,Financial Services
MRK,Healthcare
TXN,Technology
GEV,Industrials
PM,Consumer Defensive
QCOM,Technology
KLAC,Technology
MS,Financial Services
LIN,Basic Materials
RTX,Industrials
WFC,Financial Services
SNDK,Technology
IBM,Technology
C,Financial Services
PANW,Technology
ADI,Technology
VZ,Communication Services
PEP,Consumer Defensive
MCD,Consumer Cyclical
STX,Technology
DIS,Communication Services
NEE,Utilities
AMGN,Healthcare
WDC,Technology
TJX,Consumer Cyclical
T,Communication Services
BA,Industrials
APH,Technology
CRWD,Technology
TMO,Healthcare
CRM,Technology
AXP,Financial Services
GILD,Healthcare
ANET,Technology
UNP,Industrials
ETN,Industrials
BLK,Financial Services
ISRG,Healthcare
GLW,Technology
WELL,Real Estate
ABT,Healthcare
SCHW,Financial Services
HON,Industrials
PFE,Healthcare
UBER,Technology
COP,Energy
APP,Communication Services
PLD,Real Estate
DE,Industrials
BKNG,Consumer Cyclical
SPGI,Financial Services
VRT,Industrials
NEM,Basic Materials
MO,Consumer Defensive
LOW,Consumer Cyclical
CB,Financial Services
BMY,Healthcare
PGR,Financial Services
COF,Financial Services
SBUX,Consumer Cyclical
CVS,Healthcare
VRTX,Healthcare
PWR,Industrials
PH,Industrials
ACN,Technology
DHR,Healthcare
SYK,Healthcare
LMT,Industrials
EQIX,Real Estate
HWM,Industrials
NOW,Technology
CDNS,Technology
SO,Utilities
SNPS,Technology
TT,Industrials
CME,Financial Services
MDT,Healthcare
ADBE,Technology
DUK,Utilities
BNY,Financial Services
CEG,Utilities
WMB,Energy
FCX,Basic Materials
CMI,Industrials
